"","SUBJ_ID","YA_Education"
"647","CC312079",4
"648","CC312088",8
"649","CC312123",NA
"650","CC312130",6
"651","CC312149",6
"652","CC312180",5
"653","CC312222",6
"654","CC312256",NA
"655","CC320001",NA
"656","CC320002",7
"657","CC320022",6
"658","CC320023",NA
"659","CC320029",NA
"660","CC320034",6
"661","CC320036",6
"662","CC320049",NA
"663","CC320056",NA
"664","CC320059",8
"665","CC320066",NA
"666","CC320077",NA
"667","CC320087",NA
"668","CC320088",NA
"669","CC320089",7
"670","CC320092",NA
"671","CC320103",NA
"672","CC320107",NA
"673","CC320109",8
"674","CC320116",NA
"675","CC320127",NA
"676","CC320134",7
"677","CC320136",6
"678","CC320160",6
"679","CC320170",NA
"680","CC320173",NA
"681","CC320174",2
"682","CC320177",8
"683","CC320179",NA
"684","CC320194",8
"685","CC320196",4
"686","CC320197",NA
"687","CC320199",6
"688","CC320202",3
"689","CC320206",6
"690","CC320208",6
"691","CC320218",6
"692","CC320230",7
"693","CC320239",1
"694","CC320247",8
"695","CC320267",NA
"696","CC320269",NA
"697","CC320279",6
"698","CC320292",6
"699","CC320297",8
"700","CC320301",5
"701","CC320305",8
"702","CC320306",NA
"703","CC320314",7
"704","CC320315",NA
"705","CC320321",2
"706","CC320325",6
"707","CC320329",3
"708","CC320331",NA
"709","CC320336",NA
"710","CC320342",6
"711","CC320359",6
"712","CC320361",8
"713","CC320371",3
"714","CC320374",NA
"715","CC320379",6
"716","CC320380",3
"717","CC320398",5
"718","CC320400",6
"719","CC320417",6
"720","CC320427",7
"721","CC320428",NA
"722","CC320429",4
"723","CC320445",5
"724","CC320448",3
"725","CC320454",6
"726","CC320457",7
"727","CC320461",8
"728","CC320466",NA
"729","CC320467",3
"730","CC320468",6
"731","CC320469",NA
"732","CC320475",NA
"733","CC320476",6
"734","CC320478",6
"735","CC320486",NA
"736","CC320496",NA
"737","CC320498",NA
"738","CC320500",7
"739","CC320511",7
"740","CC320551",3
"741","CC320552",NA
"742","CC320553",6
"743","CC320556",NA
"744","CC320564",NA
"745","CC320568",6
"746","CC320574",7
"747","CC320575",6
"748","CC320576",1
"749","CC320589",NA
"750","CC320595",2
"751","CC320608",6
"752","CC320616",8
"753","CC320617",NA
"754","CC320621",2
"755","CC320625",5
"756","CC320627",7
"757","CC320636",NA
"758","CC320643",NA
"759","CC320645",7
"760","CC320651",NA
"761","CC320655",4
"762","CC320661",3
"763","CC320662",6
"764","CC320680",6
"765","CC320686",6
"766","CC320687",6
"767","CC320688",NA
"768","CC320689",NA
"769","CC320692",6
"770","CC320698",5
"771","CC320704",NA
"772","CC320707",8
"773","CC320720",NA
"774","CC320751",NA
"775","CC320759",NA
"776","CC320776",8
"777","CC320778",NA
"778","CC320799",8
"779","CC320803",8
"780","CC320806",6
"781","CC320813",NA
"782","CC320814",NA
"783","CC320818",2
"784","CC320828",NA
"785","CC320829",6
"786","CC320836",6
"787","CC320841",NA
"788","CC320846",NA
"789","CC320850",6
"790","CC320859",NA
"791","CC320861",7
"792","CC320870",6
"793","CC320873",7
"794","CC320876",7
"795","CC320878",3
"796","CC320884",8
"797","CC320888",7
"798","CC320893",6
"799","CC320902",3
"800","CC320904",3
"801","CC320929",6
"802","CC320931",8
"803","CC320941",3
"804","CC320957",NA
"805","CC320981",6
"806","CC320987",NA
"807","CC321000",NA
"808","CC321013",NA
"809","CC321017",2
"810","CC321025",8
"811","CC321035",NA
